id,initial_invt,monthly_invt,x_1,x_2,x_3,x_4,x_5,x_6,x_7,w_1,w_2,w_3,w_4,w_5,w_6,w_7,PC Date
1,2100,410,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:VAW,NYSEARCA:PYZ,,,0.455010089,0.263217176,0.028959989,0.10265194400000001,0.15016080199999998,,,2008-04-14
2,5200,310,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.5412958139999999,0.189734586,0.2689696,,,,,2009-03-12
3,5800,430,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.488191296,0.262604732,0.067122638,0.18208133399999998,,,,2008-07-16
4,1600,460,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.417127753,0.48499406799999994,0.029230243,0.06864793599999999,,,,2009-04-26
5,17600,4520,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:EWC,NYSEARCA:FVL,,,,0.461548659,0.303629642,0.228779078,0.006042621999999999,,,,2008-04-25
6,12500,1920,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.659033463,0.212342403,0.096903091,0.031721043,,,,2008-11-15
7,18800,680,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGM,,,0.45446538799999997,0.40963321,0.047949853,0.056052972,0.031898576,,,2009-04-13
8,15000,3630,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:JKH,,,,0.33594502,0.356391633,0.0802005,0.227462847,,,,2009-02-19
9,9700,420,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:XBI,NYSEARCA:ITA,NYSEARCA:IHF,,,0.35542186,0.164334913,0.413307661,0.06549627599999999,0.00143929,,,2008-01-07
10,15100,3200,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.4187478,0.251736083,0.137676687,0.134741845,0.057097586,,,2008-03-02
11,5000,650,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VDE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.461706419,0.289357486,0.100159756,0.060457945,0.08831839400000001,,,2008-05-18
12,19900,4590,NYSEARCA:IEO,NYSEARCA:FVL,NYSEARCA:IGM,,,,,0.776409232,0.087438635,0.136152134,,,,,2009-03-25
13,8300,680,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:RYH,,,,0.60209214,0.160576348,0.091402296,0.145929215,,,,2008-09-15
14,19900,1810,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:VOT,,,,0.503493054,0.229273113,0.134659965,0.132573869,,,,2009-06-01
15,17400,3930,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:VAW,NYSEARCA:PYZ,,,0.458787093,0.27658487,0.008632761,0.087616001,0.168379275,,,2008-08-31
16,19800,980,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGM,,,0.502084755,0.23252883100000002,0.069080595,0.052743807000000004,0.143562011,,,2009-04-30
17,8600,1060,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.581814198,0.274954121,0.043687677,0.014461688,0.08508231699999999,,,2008-11-18
18,13500,2100,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGM,,,0.283896074,0.495599267,0.056591807,0.027681297,0.136231555,,,2009-01-16
19,6800,1880,NYSEARCA:IEZ,NYSEARCA:IHI,NYSEARCA:XME,NYSEARCA:IHF,,,,0.606112455,0.049491602,0.068657282,0.27573866199999997,,,,2008-10-16
20,13000,750,NYSEARCA:PXE,NYSEARCA:XLE,NYSEARCA:IHF,,,,,0.7851487620000001,0.12702032300000002,0.087830915,,,,,2008-08-18
21,4200,130,NYSEARCA:IEO,NYSEARCA:EWC,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.694387036,0.178944477,0.07409476799999999,0.052573719000000005,,,,2008-02-24
22,4700,1270,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:EWC,NYSEARCA:EVX,,,,0.281444631,0.423101784,0.249280467,0.046173118,,,,2008-11-25
23,4400,1160,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XME,NYSEARCA:IHF,,,,0.586884129,0.167614854,0.084968332,0.160532685,,,,2008-09-22
24,7400,330,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IGV,,,0.298960611,0.35412375700000004,0.100841116,0.053019587,0.19305492800000001,,,2009-02-13
25,900,260,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:IGV,,,0.41460214700000003,0.40168056,0.003745728,0.008663506999999999,0.171308058,,,2009-04-06
26,11200,2780,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:JKH,,,0.45077677899999996,0.167335766,0.168758703,0.00274992,0.210378832,,,2008-02-06
